source,destination
20916,20915
20916,22693
20916,22692
20915,22693
20915,23004
20915,23080
20915,27308
20920,27364
21053,25385
21029,33530
21133,28500
21130,21129
21130,25465
21130,28569
21129,28072
21129,28200
21174,27808
21338,21337
21338,21336
21338,21319
21337,21336
21337,21398
21337,21413
21336,21338
21336,21337
21336,21319
21319,21338
21319,23746
21319,27777
21503,21133
21503,33292
21501,33530
21398,21397
21398,27869
21398,27868
21397,23190
21397,27734
21397,27869
21397,26854
21407,21130
21407,21435
21407,22575
21407,28546
21435,21434
21435,28111
21435,28568
21434,25560
21413,28006
21413,28004
21413,28003
21413,27053
23748,23747
23748,23746
23748,23745
23747,21338
23747,23746
23747,27777
23746,23748
23746,23747
23746,23745
23745,23748
23745,27735
23745,27732
23745,27693
23744,23759
23744,24389
23759,24390
23758,27847
23683,23682
23682,23681
23681,25482
23681,28282
23693,23812
23729,23728
23728,27399
23743,27399
23812,22531
23812,22771
23812,22770
23812,25228
23821,23816
23817,23821
23817,23816
23816,23821
23816,23863
23863,22556
23863,27367
23863,27266
23863,27315
24108,24106
24108,24105
24106,24108
24106,24105
24105,24108
24105,24104
24105,23114
24105,25556
24104,24278
24104,24277
24278,24104
24278,24277
24277,24108
24277,24104
24277,23114
24277,25556
24390,23759
24390,24389
24389,23744
24389,22707
24389,23005
24389,27694
24389,27778
24529,25465
24473,28102
22611,22610
22610,28200
22598,21503
22598,22901
22629,24473
22629,27875
22628,24529
22628,25561
22627,28470
22627,36525
22638,25474
22638,27798
22556,22555
22556,22552
22556,22535
22555,22553
22555,22552
22553,22555
22553,22552
22552,22556
22552,22555
22552,22535
22535,22556
22535,27367
22535,27266
22535,27315
22531,22529
22531,22528
22529,22531
22529,22528
22528,22531
22528,22771
22528,22770
22528,25228
22579,28029
22575,21407
22727,23729
22727,25524
22726,28415
22771,23812
22770,22769
22770,23361
22770,25476
22770,27762
22770,28572
22769,22531
22769,22771
22769,22770
22769,25228
22671,22670
22671,28101
22670,21053
22708,23744
22708,22707
22708,23005
22708,27694
22708,27846
22708,27778
22707,22708
22706,22719
22719,23758
22719,22706
22719,27776
22719,28024
22693,20916
22693,20915
22693,22692
22692,20916
22688,23683
22877,27499
22901,28403
22901,33574
22900,22727
22813,22688
22813,27435
22810,22878
22810,22877
23006,23217
23005,22693
23005,23004
23005,23080
23005,27308
23004,23744
23004,23005
23004,27694
23004,27778
23019,22693
23019,23004
23019,23080
23019,27308
22926,23541
22926,27876
23114,23112
23114,23159
23112,23114
23112,23159
23159,24108
23159,24104
23159,23114
23159,25556
23158,23157
23157,25378
23156,25226
23156,25461
23156,27687
23156,36691
23155,22629
23155,23154
23154,28102
23048,27876
23080,23019
23080,27733
23080,27311
23240,23190
23240,27734
23240,27869
23240,26854
23190,23240
23190,23229
23190,27310
23217,22708
23216,23231
23216,27371
23216,27370
23231,23240
23231,23229
23231,27310
23229,23231
23229,27371
23361,23498
23361,27907
23361,28615
23498,22769
23498,23361
23498,25476
23498,27762
23497,23496
23497,23542
23496,23543
23496,25230
23496,25271
23543,23542
23542,23497
23542,25418
23542,25384
23542,27764
23541,22671
23541,25559
23541,25558
23541,27886
25230,25229
25230,25227
25229,22531
25229,22771
25229,22770
25229,25228
25228,25229
25228,25227
25227,23543
25227,25230
25227,25271
25226,25225
25226,25270
25226,25269
25225,25224
25225,25271
25225,25270
25224,23543
25224,25230
25224,25271
25271,25225
25271,25224
25271,25270
25270,25226
25270,25225
25270,25269
25269,25226
25269,25461
25269,36691
25418,25390
25418,28370
25418,28369
25461,25460
25461,28483
25460,25376
25460,25387
25460,28021
25460,28483
25459,25376
25459,25387
25459,28021
25459,28483
25466,23155
25466,25459
25465,21130
25465,21435
25465,22575
25465,28569
25465,28546
25347,25346
25347,25359
25346,25345
25346,25359
25346,25358
25346,28264
25345,25359
25344,25359
25359,25338
25359,25347
25359,25346
25359,25345
25359,25358
25359,28122
25359,28103
25359,28264
25358,25365
25358,25359
25379,21174
25378,28410
25378,28408
25377,28410
25377,28409
25376,25391
25376,25389
25391,25390
25391,28370
25390,25391
25390,25389
25389,25376
25389,25387
25389,28021
25389,28483
25388,25376
25388,25387
25388,28021
25388,28483
25387,25388
25387,25386
25386,28425
25386,27095
25385,22598
25384,22671
